frame,n_detections_in_buffer,detection_density,median_y_in_buffer,y_range_in_buffer,frames_since_last_det,last_y,dy_last_pair,dy_per_frame_last_pair,dy_buffer_first_to_last
0,0,0.0,,,30,,,,
1,0,0.0,,,30,,,,
2,0,0.0,,,30,,,,
3,0,0.0,,,30,,,,
4,0,0.0,,,30,,,,
5,0,0.0,,,30,,,,
6,0,0.0,,,30,,,,
7,0,0.0,,,30,,,,
8,0,0.0,,,30,,,,
9,1,0.03333333333333333,889.1849975585938,0.0,0,889.1849975585938,,,
10,2,0.06666666666666667,889.6638488769531,0.95770263671875,0,890.1427001953125,0.95770263671875,0.95770263671875,0.95770263671875
11,3,0.1,890.1427001953125,1.00225830078125,0,890.187255859375,0.0445556640625,0.0445556640625,1.00225830078125
12,4,0.13333333333333333,890.1649780273438,1.64715576171875,0,890.8321533203125,0.6448974609375,0.6448974609375,1.64715576171875
13,5,0.16666666666666666,890.187255859375,2.5684814453125,0,891.7534790039062,0.92132568359375,0.92132568359375,2.5684814453125
14,6,0.2,890.5097045898438,2.60479736328125,0,891.789794921875,0.03631591796875,0.03631591796875,2.60479736328125
15,7,0.23333333333333334,890.8321533203125,2.8309326171875,0,892.0159301757812,0.22613525390625,0.22613525390625,2.8309326171875
16,8,0.26666666666666666,891.2928161621094,3.97320556640625,0,893.158203125,1.14227294921875,1.14227294921875,3.97320556640625
17,9,0.3,891.7534790039062,4.19085693359375,0,893.3758544921875,0.2176513671875,0.2176513671875,4.19085693359375
18,10,0.3333333333333333,891.7716369628906,4.63348388671875,0,893.8184814453125,0.442626953125,0.442626953125,4.63348388671875
19,11,0.36666666666666664,891.789794921875,4.77191162109375,0,893.9569091796875,0.138427734375,0.138427734375,4.77191162109375
20,12,0.4,891.9028625488281,4.77191162109375,0,893.6961669921875,-0.2607421875,-0.2607421875,4.51116943359375
21,13,0.43333333333333335,892.0159301757812,4.77191162109375,0,893.1419677734375,-0.55419921875,-0.55419921875,3.95697021484375
22,14,0.4666666666666667,892.1865539550781,4.77191162109375,0,892.357177734375,-0.7847900390625,-0.7847900390625,3.17218017578125
23,15,0.5,892.0159301757812,4.77191162109375,0,891.84326171875,-0.513916015625,-0.513916015625,2.65826416015625
24,15,0.5,892.0159301757812,4.77191162109375,1,891.84326171875,-0.513916015625,-0.513916015625,2.65826416015625
25,16,0.5333333333333333,891.9295959472656,4.77191162109375,0,889.4368896484375,-2.4063720703125,-1.20318603515625,0.25189208984375
26,17,0.5666666666666667,891.84326171875,5.8382568359375,0,888.11865234375,-1.3182373046875,-1.3182373046875,-1.06634521484375
27,18,0.6,891.8165283203125,7.751708984375,0,886.2052001953125,-1.9134521484375,-1.9134521484375,-2.97979736328125
28,19,0.6333333333333333,891.789794921875,9.5386962890625,0,884.418212890625,-1.7869873046875,-1.7869873046875,-4.76678466796875
29,20,0.6666666666666666,891.7716369628906,10.70428466796875,0,883.2526245117188,-1.16558837890625,-1.16558837890625,-5.932373046875
30,20,0.6666666666666666,891.7716369628906,10.70428466796875,1,883.2526245117188,-1.16558837890625,-1.16558837890625,-5.932373046875
31,21,0.7,891.7534790039062,17.24755859375,0,876.7093505859375,-6.54327392578125,-3.271636962890625,-12.47564697265625
32,22,0.7333333333333333,891.2928161621094,19.7308349609375,0,874.22607421875,-2.4832763671875,-2.4832763671875,-14.95892333984375
33,23,0.7666666666666667,890.8321533203125,24.5440673828125,0,869.412841796875,-4.813232421875,-4.813232421875,-19.77215576171875
34,24,0.8,890.5097045898438,32.06158447265625,0,861.8953247070312,-7.51751708984375,-7.51751708984375,-27.2896728515625
35,25,0.8333333333333334,890.187255859375,35.6771240234375,0,858.27978515625,-3.61553955078125,-3.61553955078125,-30.90521240234375
36,26,0.8666666666666667,890.1649780273438,43.9561767578125,0,850.000732421875,-8.279052734375,-8.279052734375,-39.18426513671875
37,27,0.9,890.1427001953125,51.332763671875,0,842.6241455078125,-7.3765869140625,-7.3765869140625,-46.56085205078125
38,28,0.9333333333333333,889.789794921875,55.39349365234375,0,838.5634155273438,-4.06072998046875,-4.06072998046875,-50.62158203125
39,27,0.9,890.1427001953125,55.39349365234375,1,838.5634155273438,-4.06072998046875,-4.06072998046875,-51.57928466796875
40,26,0.8666666666666667,889.8120727539062,55.39349365234375,2,838.5634155273438,-4.06072998046875,-4.06072998046875,-51.62384033203125
41,25,0.8333333333333334,889.4368896484375,55.39349365234375,3,838.5634155273438,-4.06072998046875,-4.06072998046875,-52.26873779296875
42,24,0.8,888.7777709960938,55.39349365234375,4,838.5634155273438,-4.06072998046875,-4.06072998046875,-53.1900634765625
43,24,0.8,887.1619262695312,55.39349365234375,0,843.8309326171875,5.26751708984375,1.05350341796875,-47.9588623046875
44,24,0.8,885.3117065429688,55.39349365234375,0,847.3636474609375,3.53271484375,3.53271484375,-44.65228271484375
45,24,0.8,883.8354187011719,55.39349365234375,0,855.5645751953125,8.200927734375,8.200927734375,-37.5936279296875
46,24,0.8,879.9809875488281,55.39349365234375,0,858.5371704101562,2.97259521484375,2.97259521484375,-34.83868408203125
47,23,0.7666666666666667,876.7093505859375,55.39349365234375,1,858.5371704101562,2.97259521484375,2.97259521484375,-35.28131103515625
48,22,0.7333333333333333,875.4677124023438,55.39349365234375,2,858.5371704101562,2.97259521484375,2.97259521484375,-35.41973876953125
49,21,0.7,874.22607421875,55.13275146484375,3,858.5371704101562,2.97259521484375,2.97259521484375,-35.15899658203125
50,21,0.7,869.412841796875,82.322021484375,0,810.8199462890625,-47.71722412109375,-11.929306030273438,-82.322021484375
51,21,0.7,861.8953247070312,95.88934326171875,0,796.4678344726562,-14.35211181640625,-14.35211181640625,-95.88934326171875
52,21,0.7,858.5371704101562,107.82464599609375,0,784.0186157226562,-12.44921875,-12.44921875,-107.82464599609375
53,21,0.7,858.27978515625,112.06103515625,0,777.3758544921875,-6.64276123046875,-6.64276123046875,-112.06103515625
54,22,0.7333333333333333,856.9221801757812,123.84527587890625,0,765.5916137695312,-11.78424072265625,-11.78424072265625,-123.84527587890625
55,22,0.7333333333333333,852.7826538085938,131.6412353515625,0,756.4774169921875,-9.11419677734375,-9.11419677734375,-131.6412353515625
56,22,0.7333333333333333,848.6821899414062,133.581298828125,0,752.6239013671875,-3.853515625,-3.853515625,-133.581298828125
57,22,0.7333333333333333,845.5972900390625,140.58319091796875,0,743.8350219726562,-8.78887939453125,-8.78887939453125,-140.58319091796875
58,22,0.7333333333333333,843.2275390625,146.21746826171875,0,737.03515625,-6.79986572265625,-6.79986572265625,-146.21746826171875
59,22,0.7333333333333333,840.5937805175781,143.3594970703125,0,733.349853515625,-3.685302734375,-3.685302734375,-143.3594970703125
60,23,0.7666666666666667,838.5634155273438,147.473876953125,0,729.2354736328125,-4.1143798828125,-4.1143798828125,-147.473876953125
61,23,0.7666666666666667,810.8199462890625,149.31011962890625,0,724.9159545898438,-4.31951904296875,-4.31951904296875,-149.31011962890625
62,23,0.7666666666666667,796.4678344726562,145.9005126953125,0,723.5123291015625,-1.40362548828125,-1.40362548828125,-145.9005126953125
63,23,0.7666666666666667,784.0186157226562,141.73760986328125,0,720.15771484375,-3.3546142578125,-3.3546142578125,-141.73760986328125
64,23,0.7666666666666667,777.3758544921875,139.34649658203125,0,719.190673828125,-0.967041015625,-0.967041015625,-139.089111328125
65,23,0.7666666666666667,765.5916137695312,139.34649658203125,0,719.561767578125,0.37109375,0.37109375,-130.43896484375
66,23,0.7666666666666667,756.4774169921875,139.34649658203125,0,722.760986328125,3.19921875,3.19921875,-119.8631591796875
67,23,0.7666666666666667,752.6239013671875,139.34649658203125,0,726.8876953125,4.126708984375,4.126708984375,-111.67572021484375
68,23,0.7666666666666667,743.8350219726562,139.34649658203125,0,729.6393432617188,2.75164794921875,2.75164794921875,-114.19158935546875
69,23,0.7666666666666667,743.8350219726562,139.34649658203125,1,729.6393432617188,2.75164794921875,2.75164794921875,-114.19158935546875
70,23,0.7666666666666667,743.8350219726562,139.34649658203125,2,729.6393432617188,2.75164794921875,2.75164794921875,-114.19158935546875
71,24,0.8,743.5115051269531,139.34649658203125,0,743.18798828125,13.54864501953125,4.516215006510417,-100.6429443359375
72,25,0.8333333333333334,743.8350219726562,139.34649658203125,0,748.9676513671875,5.7796630859375,5.7796630859375,-94.86328125
73,25,0.8333333333333334,743.8350219726562,139.34649658203125,0,755.5822143554688,6.61456298828125,6.61456298828125,-91.78143310546875
74,25,0.8333333333333334,743.8350219726562,139.34649658203125,0,758.85986328125,3.27764892578125,3.27764892578125,-96.7047119140625
75,25,0.8333333333333334,743.8350219726562,139.34649658203125,0,764.850830078125,5.990966796875,5.990966796875,-93.68634033203125
76,25,0.8333333333333334,743.8350219726562,91.6292724609375,0,775.00390625,10.153076171875,10.153076171875,-35.8160400390625
77,26,0.8666666666666667,746.4013366699219,91.6292724609375,0,779.09619140625,4.09228515625,4.09228515625,-31.7237548828125
78,27,0.9,748.9676513671875,91.6292724609375,0,789.7678833007812,10.67169189453125,10.67169189453125,-21.05206298828125
79,28,0.9333333333333333,750.7957763671875,91.6292724609375,0,799.283935546875,9.51605224609375,9.51605224609375,-11.5360107421875
80,28,0.9333333333333333,750.7957763671875,86.589599609375,0,805.7802734375,6.496337890625,6.496337890625,9.31243896484375
81,28,0.9333333333333333,750.7957763671875,97.6904296875,0,816.881103515625,11.100830078125,11.100830078125,32.86248779296875
82,28,0.9333333333333333,750.7957763671875,109.81982421875,0,829.010498046875,12.12939453125,12.12939453125,51.6346435546875
83,28,0.9333333333333333,750.7957763671875,116.15771484375,0,835.348388671875,6.337890625,6.337890625,69.75677490234375
84,28,0.9333333333333333,750.7957763671875,129.090576171875,0,848.28125,12.932861328125,12.932861328125,91.8038330078125
85,28,0.9333333333333333,750.7957763671875,143.134765625,0,862.325439453125,14.044189453125,14.044189453125,109.7015380859375
86,28,0.9333333333333333,752.2749328613281,151.464599609375,0,870.6552734375,8.329833984375,8.329833984375,126.82025146484375
87,28,0.9333333333333333,757.2210388183594,166.19476318359375,0,885.3854370117188,14.73016357421875,14.73016357421875,148.35028076171875
88,28,0.9333333333333333,761.8553466796875,171.898193359375,0,891.0888671875,5.70343017578125,5.70343017578125,157.739013671875
89,28,0.9333333333333333,769.9273681640625,171.898193359375,0,881.4620361328125,-9.6268310546875,-9.6268310546875,152.2265625
90,28,0.9333333333333333,777.050048828125,171.898193359375,0,861.6654663085938,-19.79656982421875,-19.79656982421875,136.74951171875
91,28,0.9333333333333333,784.4320373535156,171.898193359375,0,844.753662109375,-16.91180419921875,-16.91180419921875,121.2413330078125
92,28,0.9333333333333333,794.5259094238281,171.898193359375,0,836.9588623046875,-7.7947998046875,-7.7947998046875,116.8011474609375
93,28,0.9333333333333333,802.5321044921875,171.898193359375,0,820.2315673828125,-16.727294921875,-16.727294921875,101.0408935546875
94,28,0.9333333333333333,805.1817626953125,171.527099609375,0,804.583251953125,-15.6483154296875,-15.6483154296875,85.021484375
95,28,0.9333333333333333,805.1817626953125,168.327880859375,0,797.3934326171875,-7.1898193359375,-7.1898193359375,74.6324462890625
96,28,0.9333333333333333,805.1817626953125,164.201171875,0,784.5827026367188,-12.81072998046875,-12.81072998046875,57.69500732421875
97,28,0.9333333333333333,805.1817626953125,161.44952392578125,0,775.5928955078125,-8.98980712890625,-8.98980712890625,45.95355224609375
98,28,0.9333333333333333,805.1817626953125,147.90087890625,0,771.6378173828125,-3.955078125,-3.955078125,28.4498291015625
99,29,0.9666666666666667,804.583251953125,147.90087890625,0,765.1832275390625,-6.45458984375,-6.45458984375,21.9952392578125
100,30,1.0,801.93359375,147.90087890625,0,762.3463745117188,-2.83685302734375,-2.83685302734375,19.15838623046875
101,30,1.0,801.93359375,142.1212158203125,0,761.1051635742188,-1.2412109375,-1.2412109375,12.13751220703125
102,30,1.0,801.93359375,135.50665283203125,0,759.1357421875,-1.96942138671875,-1.96942138671875,3.55352783203125
103,30,1.0,801.93359375,132.22900390625,0,759.3116455078125,0.1759033203125,0.1759033203125,0.4517822265625
104,30,1.0,801.93359375,131.953125,0,759.4314575195312,0.11981201171875,0.11981201171875,-5.41937255859375
105,30,1.0,801.93359375,131.953125,0,759.540283203125,0.10882568359375,0.10882568359375,-15.463623046875
106,30,1.0,801.93359375,131.953125,0,760.3237915039062,0.78350830078125,0.78350830078125,-18.77239990234375
107,30,1.0,801.93359375,131.953125,0,760.51708984375,0.19329833984375,0.19329833984375,-29.25079345703125
108,30,1.0,801.93359375,131.953125,0,761.4606323242188,0.94354248046875,0.94354248046875,-37.82330322265625
109,30,1.0,800.9883422851562,131.953125,0,764.0383911132812,2.5777587890625,2.5777587890625,-41.74188232421875
110,30,1.0,790.9880676269531,131.953125,0,766.184326171875,2.14593505859375,2.14593505859375,-50.69677734375
111,30,1.0,780.0877990722656,131.953125,0,770.8607177734375,4.6763916015625,4.6763916015625,-58.1497802734375
112,30,1.0,775.7765502929688,131.953125,0,775.960205078125,5.0994873046875,5.0994873046875,-59.38818359375
113,30,1.0,775.7765502929688,131.953125,0,779.3487548828125,3.3885498046875,3.3885498046875,-68.9324951171875
114,30,1.0,775.7765502929688,131.953125,0,788.0780029296875,8.729248046875,8.729248046875,-74.2474365234375
115,30,1.0,775.7765502929688,131.953125,0,797.4444580078125,9.366455078125,9.366455078125,-73.2108154296875
116,30,1.0,775.7765502929688,131.953125,0,802.1435546875,4.6990966796875,4.6990966796875,-83.24188232421875
117,30,1.0,775.7765502929688,131.953125,0,811.4279174804688,9.28436279296875,9.28436279296875,-79.66094970703125
118,30,1.0,775.7765502929688,122.3262939453125,0,800.1800537109375,-11.24786376953125,-11.24786376953125,-81.281982421875
119,30,1.0,775.7765502929688,102.52972412109375,0,795.4183349609375,-4.76171875,-4.76171875,-66.24713134765625
120,30,1.0,775.7765502929688,85.617919921875,0,787.3087768554688,-8.10955810546875,-8.10955810546875,-57.44488525390625
121,30,1.0,775.7765502929688,77.8231201171875,0,778.5186767578125,-8.79010009765625,-8.79010009765625,-58.440185546875
122,30,1.0,774.9743041992188,61.0958251953125,0,774.355712890625,-4.1629638671875,-4.1629638671875,-45.8758544921875
123,30,1.0,772.9967651367188,52.29217529296875,0,766.972412109375,-7.38330078125,-7.38330078125,-37.61083984375
124,30,1.0,771.249267578125,52.29217529296875,0,760.6275634765625,-6.3448486328125,-6.3448486328125,-36.765869140625
125,30,1.0,768.9165649414062,53.2225341796875,0,758.2053833007812,-2.42218017578125,-2.42218017578125,-26.3773193359375
126,30,1.0,766.578369140625,57.82720947265625,0,753.6007080078125,-4.60467529296875,-4.60467529296875,-21.9921875
127,30,1.0,765.6837768554688,60.22515869140625,0,751.2027587890625,-2.39794921875,-2.39794921875,-20.43505859375
128,30,1.0,764.6108093261719,61.44488525390625,0,749.9830322265625,-1.2197265625,-1.2197265625,-15.2001953125
129,30,1.0,763.1923828125,62.67742919921875,0,748.75048828125,-1.2325439453125,-1.2325439453125,-13.59588623046875
130,30,1.0,762.74951171875,62.67742919921875,0,748.7958374023438,0.04534912109375,0.04534912109375,-12.309326171875
131,30,1.0,762.74951171875,62.67742919921875,0,749.1513671875,0.35552978515625,0.35552978515625,-9.984375
132,30,1.0,762.74951171875,62.67742919921875,0,751.4247436523438,2.27337646484375,2.27337646484375,-7.88690185546875
133,30,1.0,762.74951171875,62.67742919921875,0,753.9556274414062,2.5308837890625,2.5308837890625,-5.475830078125
134,30,1.0,762.74951171875,62.67742919921875,0,756.170654296875,2.21502685546875,2.21502685546875,-3.36962890625
135,30,1.0,762.74951171875,62.67742919921875,0,759.8198852539062,3.64923095703125,3.64923095703125,-0.50390625
136,30,1.0,764.5414123535156,62.67742919921875,0,765.04443359375,5.22454833984375,5.22454833984375,4.52734375
137,30,1.0,765.6143798828125,62.67742919921875,0,768.4849243164062,3.44049072265625,3.44049072265625,7.0242919921875
138,30,1.0,766.578369140625,62.67742919921875,0,776.34375,7.85882568359375,7.85882568359375,12.30535888671875
139,30,1.0,767.7286682128906,62.67742919921875,0,770.610107421875,-5.733642578125,-5.733642578125,4.42578125
140,30,1.0,768.0574645996094,62.67742919921875,0,767.6300048828125,-2.9801025390625,-2.9801025390625,-3.230712890625
141,29,0.9666666666666667,767.6300048828125,62.67742919921875,1,767.6300048828125,-2.9801025390625,-2.9801025390625,-8.3302001953125
142,29,0.9666666666666667,766.972412109375,62.67742919921875,0,755.8529052734375,-11.777099609375,-5.8885498046875,-23.495849609375
143,29,0.9666666666666667,765.04443359375,62.67742919921875,0,753.8742065429688,-1.97869873046875,-1.97869873046875,-34.20379638671875
144,29,0.9666666666666667,760.6275634765625,62.67742919921875,0,750.802490234375,-3.07171630859375,-3.07171630859375,-46.6419677734375
145,29,0.9666666666666667,759.8198852539062,63.40032958984375,0,748.027587890625,-2.77490234375,-2.77490234375,-54.115966796875
146,29,0.9666666666666667,758.2053833007812,64.18597412109375,0,747.241943359375,-0.78564453125,-0.78564453125,-64.18597412109375
147,29,0.9666666666666667,756.170654296875,54.00323486328125,0,746.1768188476562,-1.06512451171875,-1.06512451171875,-54.00323486328125
148,29,0.9666666666666667,755.8529052734375,49.63067626953125,0,745.7876586914062,-0.38916015625,-0.38916015625,-49.63067626953125
149,29,0.9666666666666667,753.9556274414062,41.5211181640625,0,746.406005859375,0.61834716796875,0.61834716796875,-40.90277099609375
150,29,0.9666666666666667,753.8742065429688,32.73101806640625,0,747.361083984375,0.955078125,0.955078125,-31.1575927734375
151,29,0.9666666666666667,753.6007080078125,30.55609130859375,0,750.087158203125,2.72607421875,2.72607421875,-24.2685546875
152,29,0.9666666666666667,751.8156127929688,30.55609130859375,0,751.8156127929688,1.72845458984375,1.72845458984375,-15.15679931640625
153,29,0.9666666666666667,751.8156127929688,30.55609130859375,0,753.0628662109375,1.24725341796875,1.24725341796875,-7.564697265625
154,29,0.9666666666666667,751.4247436523438,30.55609130859375,0,747.8467407226562,-5.21612548828125,-5.21612548828125,-10.358642578125
155,29,0.9666666666666667,751.2027587890625,30.55609130859375,0,745.8970336914062,-1.94970703125,-1.94970703125,-7.70367431640625
156,29,0.9666666666666667,750.802490234375,33.3260498046875,0,743.0177001953125,-2.87933349609375,-2.87933349609375,-8.18505859375
157,29,0.9666666666666667,750.087158203125,35.7034912109375,0,740.6402587890625,-2.37744140625,-2.37744140625,-9.3427734375
158,29,0.9666666666666667,750.087158203125,35.7034912109375,0,740.8870849609375,0.246826171875,0.246826171875,-7.8634033203125
159,29,0.9666666666666667,750.087158203125,35.7392578125,0,740.6044921875,-0.2825927734375,-0.2825927734375,-8.19134521484375
160,29,0.9666666666666667,750.087158203125,35.7392578125,0,741.2985229492188,0.69403076171875,0.69403076171875,-7.85284423828125
161,29,0.9666666666666667,750.087158203125,35.7392578125,0,741.7535400390625,0.45501708984375,0.45501708984375,-9.67120361328125
162,29,0.9666666666666667,748.027587890625,35.7392578125,0,745.422607421875,3.6690673828125,3.6690673828125,-8.53302001953125
163,29,0.9666666666666667,748.027587890625,35.7392578125,0,748.5475463867188,3.12493896484375,3.12493896484375,-7.62310791015625
164,29,0.9666666666666667,747.8467407226562,35.7392578125,0,747.47265625,-1.07489013671875,-1.07489013671875,-12.34722900390625
165,29,0.9666666666666667,747.47265625,35.7392578125,0,744.3917236328125,-3.0809326171875,-3.0809326171875,-20.6527099609375
166,29,0.9666666666666667,747.361083984375,35.7392578125,0,742.3544921875,-2.0372314453125,-2.0372314453125,-26.13043212890625
167,29,0.9666666666666667,747.241943359375,35.7392578125,0,741.6724853515625,-0.6820068359375,-0.6820068359375,-34.6712646484375
168,29,0.9666666666666667,746.406005859375,30.005615234375,0,741.4861450195312,-0.18634033203125,-0.18634033203125,-29.12396240234375
169,29,0.9666666666666667,746.1768188476562,27.0255126953125,0,741.983154296875,0.49700927734375,0.49700927734375,-25.6468505859375
170,29,0.9666666666666667,745.8970336914062,15.2484130859375,0,743.17529296875,1.192138671875,1.192138671875,-12.6776123046875
171,30,1.0,745.8423461914062,15.2484130859375,0,744.6918334960938,1.51654052734375,1.51654052734375,-11.16107177734375
172,30,1.0,745.6051330566406,13.26971435546875,0,743.984130859375,-0.70770263671875,-0.70770263671875,-9.89007568359375
