frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,fallback_candidate_count,raw_best_score,fallback_best_score,output_score,output_source,tracker_active,tracker_gap,primary_ms,fallback_ms,tracking_ms,total_ms
1,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,107.49571500127786,0.003631001163739711,0.0077980002970434725,118.3637579997594
2,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.63969900028314,0.0033139986044261605,0.008269002137240022,124.5543870027177
3,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,117.02092300038203,0.0033469987101852894,0.008228998922277242,127.91886099876137
4,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.49383899848908,0.0033849973988253623,0.0076930009527131915,124.39964199802489
5,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.94975599998725,0.003245000698370859,0.00815399835119024,125.70574499841314
6,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.35169300198322,0.003670000296551734,0.008113001968013123,125.16820200107759
7,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,116.08843000067282,0.003258999640820548,0.008275001164292917,127.03788200087729
8,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.88794799838797,0.0032719981390982866,0.008404000254813582,125.07211599950097
9,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,115.27145499712788,0.0035000011848751456,0.008538001566193998,126.14695399679476
10,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.91243999949074,0.00350600021192804,0.008516999514540657,124.91012100144872
11,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,121.99152600078378,0.005077999958302826,0.011543997970875353,132.78074899790226
12,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,119.59263400058262,0.0033860014809761196,0.00805500167189166,131.90699099868652
13,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,116.83534300027532,0.0035890006984118372,0.00774200088926591,127.75425400104723
14,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.26136899899575,0.0032509997254237533,0.0074449999374337494,126.32285099971341
15,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,116.87081900163321,0.0035010016290470958,0.008535000233678147,127.78766900009941
16,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.50478899860173,0.0036960009310860187,0.007990998710738495,126.65933699827292
17,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,117.57227000271087,0.003296998329460621,0.00780699701863341,128.35183599963784
18,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.6041840001999,0.003529999958118424,0.008265997166745365,126.71934999889345
19,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,118.26405800093198,0.0036519995774142444,0.00788100078352727,129.14825299958466
20,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.41613399802009,0.004063000233145431,0.008451002941001207,126.5207289980026
21,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,115.91676600073697,0.00346899832948111,0.008517999958712608,127.15083099828917
22,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.99431500083301,0.004175002686679363,0.008986000466393307,124.89981299950159
23,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,117.1696380006324,0.0032869975257199258,0.007991999154910445,128.02853399989544
24,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,115.15055199924973,0.0035759985621552914,0.008944000001065433,127.12507700052811
25,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,117.76445799841895,0.0034100012271665037,0.009253999451175332,128.79844800045248
26,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.24516300030518,0.003995999577455223,0.008532002539141104,126.40766500044265
27,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,117.29672900037258,0.0031990020943339914,0.0073929986683651805,129.19811900064815
28,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,124.84936400142033,0.003534998540999368,0.007781996828271076,138.74877200214542
29,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,117.39705400032108,0.003459997969912365,0.007773996912874281,128.05365000167512
30,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.15003200090723,0.0035140001273248345,0.007963000825839117,126.38456099739415
31,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,116.36169499979587,0.0037809986679349095,0.008393002644879743,127.52802199975122
32,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,113.06581899771118,0.0034559998312033713,0.00810199708212167,125.28104599914514
33,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,116.62920600065263,0.003811001079156995,0.008531002094969153,127.64086700190092
34,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.34445399936521,0.003207998815923929,0.00831199940876104,126.18647699855501
35,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,115.56052200103295,0.0038800026231911033,0.008199000149033964,126.41177000114112
