sequence,frames_total,gt_frames,raw_pred_frames,final_pred_frames,raw_tp,raw_fp,raw_fn,raw_precision,raw_recall,raw_mota,raw_mean_iou,raw_zero_candidate_gt_frames,raw_miss_streak_count,raw_mean_miss_streak,raw_max_miss_streak,raw_recovered_miss_rate,raw_fragments,final_tp,final_fp,final_fn,final_precision,final_recall,final_mota,final_mean_iou,final_miss_streak_count,final_mean_miss_streak,final_max_miss_streak,final_recovered_miss_rate,final_fragments,gap_bridged_frames,zero_candidate_gap_bridged_frames,fallback_recoveries,primary_ms_avg,fallback_ms_avg,tracking_ms_avg,total_ms_avg,runtime_fps
SNMOT-060,750,734,532,554,274,258,460,0.5150375939849624,0.37329700272479566,0.021798365122615793,0.6491795345042275,202,97,4.742268041237113,37,0.9896907216494846,95,256,298,478,0.4620938628158845,0.34877384196185285,-0.05722070844686655,0.644732579264385,80,5.975,75,0.9875,78,17,16,113,239.99326204530857,151.3206917666806,151.52045244401234,401.69686655465193,2.4894393839239655
SNMOT-061,750,732,415,396,174,241,558,0.41927710843373495,0.23770491803278687,-0.09153005464480879,0.5922897126891693,317,49,11.387755102040817,53,1.0,48,175,221,557,0.44191919191919193,0.2390710382513661,-0.06284153005464477,0.5908456303559054,47,11.851063829787234,52,1.0,46,3,3,17,234.60330107864624,127.84360664934987,127.98184567862579,372.9907818892995,2.6810314049444566
SNMOT-062,750,750,474,451,220,254,530,0.4641350210970464,0.29333333333333333,-0.045333333333333226,0.6108638203881759,276,56,9.464285714285714,42,0.9821428571428571,54,215,236,535,0.47671840354767187,0.2866666666666667,-0.028000000000000025,0.6115365196368049,55,9.727272727272727,42,0.9818181818181818,53,3,3,5,229.02463026535406,110.58904029734549,110.737318686668,349.9027213053293,2.857937189712189
SNMOT-063,750,750,394,425,208,186,542,0.5279187817258884,0.2773333333333333,0.029333333333333322,0.6323246659467793,356,53,10.226415094339623,43,1.0,53,212,213,538,0.4988235294117647,0.2826666666666667,-0.0013333333333334085,0.6359240100767815,56,9.607142857142858,43,0.9821428571428571,55,9,9,50,232.30443159066877,158.2633311333096,158.41446740928464,401.1223093959682,2.4930051921217107
SNMOT-064,750,590,375,431,43,332,547,0.11466666666666667,0.07288135593220339,-0.4898305084745762,0.6676437845435068,223,15,36.46666666666667,369,0.9333333333333333,13,45,386,545,0.10440835266821345,0.07627118644067797,-0.5779661016949154,0.6705565164500732,13,41.92307692307692,263,0.9230769230769231,11,11,10,71,174.28264773870856,62.90930392532755,63.0573783559715,249.13558974402017,4.013878551143463
SNMOT-065,750,675,340,525,82,258,593,0.2411764705882353,0.12148148148148148,-0.2607407407407407,0.6761533381861773,340,37,16.027027027027028,154,0.972972972972973,35,90,435,585,0.17142857142857143,0.13333333333333333,-0.5111111111111111,0.6822535184545921,41,14.268292682926829,259,0.975609756097561,39,16,16,213,115.4092577759875,125.33732541732752,125.54682403196057,252.30266726405293,3.963493572398218
SNMOT-066,750,724,375,435,207,168,517,0.552,0.28591160220994477,0.05386740331491713,0.597793525487236,352,25,20.68,361,1.0,25,205,230,519,0.47126436781609193,0.28314917127071826,-0.03453038674033149,0.5959375262359726,27,19.22222222222222,242,1.0,27,4,4,102,115.45167563462262,90.73504992001108,90.89493281726027,217.53724774002816,4.5969139096356875
SNMOT-067,750,707,324,371,106,218,601,0.3271604938271605,0.14992927864214992,-0.15841584158415833,0.677468997880493,384,46,13.065217391304348,216,1.0,45,105,266,602,0.2830188679245283,0.1485148514851485,-0.2277227722772277,0.676009597202178,56,10.75,216,0.9821428571428571,54,11,11,80,116.70658139470227,75.57584196398966,75.71293132666808,204.17045916132338,4.897868203400862
SNMOT-068,750,718,584,628,453,131,265,0.7756849315068494,0.6309192200557103,0.44846796657381616,0.7057642994690658,134,94,2.8191489361702127,14,1.0,94,411,217,307,0.6544585987261147,0.5724233983286908,0.2701949860724234,0.7048419756245431,73,4.205479452054795,83,1.0,73,11,11,131,116.40147824809053,86.66626865464787,86.89127832129209,215.1101104200934,4.6487819565852915
SNMOT-069,750,750,348,381,197,151,553,0.5660919540229885,0.26266666666666666,0.06133333333333335,0.6742511737987593,402,42,13.166666666666666,157,0.9761904761904762,40,214,167,536,0.5616797900262467,0.2853333333333333,0.06266666666666665,0.6647094571886352,44,12.181818181818182,157,0.9772727272727273,42,22,22,51,115.64100357603456,92.11438756395849,92.25252191326096,219.27477258662597,4.560488140991884
SNMOT-070,750,737,426,419,282,144,455,0.6619718309859155,0.38263229308005425,0.1872455902306649,0.6705368571911219,311,70,6.5,79,1.0,70,280,139,457,0.6682577565632458,0.37991858887381275,0.19131614654002715,0.6687220822128895,73,6.260273972602739,53,1.0,73,9,8,27,117.53363827598999,83.7844787253028,83.93160451075528,212.4404520639946,4.707201431198068
